date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:17%20GMT	https://aura.org.nz/?p=1207	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/indexa60b.html	(from https://aura.org.nz/robonz-nov-2012/)
21:12:19	2196/2196	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2008:12:17%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Frobonz-nov-2012%2F	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embed7364.json	(from https://aura.org.nz/robonz-nov-2012/)
21:12:20	2293/2293	---MC-	200	added ('OK')	text/xml	date:Fri,%2003%20Mar%202023%2008:12:18%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Frobonz-nov-2012%2F&format=xml	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embedf4d5	(from https://aura.org.nz/robonz-nov-2012/)
21:12:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:19%20GMT	https://wp.me/pbLPmZ-jp	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/wp.me/pbLPmZ-jp	(from https://aura.org.nz/big-boys-toys-scrimmages/)
21:12:21	905/905	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2008:12:19%20GMT	https://aura.org.nz/big-boys-toys-scrimmages/feed/	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/big-boys-toys-scrimmages/feed/index.html	(from https://aura.org.nz/big-boys-toys-scrimmages/)
21:12:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:19%20GMT	https://aura.org.nz/?p=1203	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/indexb849.html	(from https://aura.org.nz/big-boys-toys-scrimmages/)
21:12:21	2247/2247	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2008:12:19%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Fbig-boys-toys-scrimmages%2F	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embed0a33.json	(from https://aura.org.nz/big-boys-toys-scrimmages/)
21:12:22	2344/2344	---MC-	200	added ('OK')	text/xml	date:Fri,%2003%20Mar%202023%2008:12:20%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Fbig-boys-toys-scrimmages%2F&format=xml	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embeda3f9	(from https://aura.org.nz/big-boys-toys-scrimmages/)
21:12:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:20%20GMT	https://wp.me/pbLPmZ-jf	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/wp.me/pbLPmZ-jf.140.delayed	(from https://aura.org.nz/first-tech-challenge-ftc-pilot/)
21:12:22	923/923	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2008:12:20%20GMT	https://aura.org.nz/first-tech-challenge-ftc-pilot/feed/	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/first-tech-challenge-ftc-pilot/feed/index.html	(from https://aura.org.nz/first-tech-challenge-ftc-pilot/)
21:12:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:20%20GMT	https://aura.org.nz/?p=1193	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/indexbe7c.html	(from https://aura.org.nz/first-tech-challenge-ftc-pilot/)
21:12:22	2277/2277	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2008:12:20%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Ffirst-tech-challenge-ftc-pilot%2F	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embed00aa.json	(from https://aura.org.nz/first-tech-challenge-ftc-pilot/)
21:12:23	2374/2374	---MC-	200	added ('OK')	text/xml	date:Fri,%2003%20Mar%202023%2008:12:21%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Ffirst-tech-challenge-ftc-pilot%2F&format=xml	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embed3084	(from https://aura.org.nz/first-tech-challenge-ftc-pilot/)
21:12:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:22%20GMT	https://wp.me/pbLPmZ-jc	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/wp.me/pbLPmZ-jc	(from https://aura.org.nz/august-sack-attack-scrimmage/)
21:12:23	915/915	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2008:12:22%20GMT	https://aura.org.nz/august-sack-attack-scrimmage/feed/	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/august-sack-attack-scrimmage/feed/index.html	(from https://aura.org.nz/august-sack-attack-scrimmage/)
21:12:24	2261/2261	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2008:12:22%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Faugust-sack-attack-scrimmage%2F	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embedd0ad.json	(from https://aura.org.nz/august-sack-attack-scrimmage/)
21:12:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:22%20GMT	https://aura.org.nz/?p=1190	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/index0959.html	(from https://aura.org.nz/august-sack-attack-scrimmage/)
21:12:25	2358/2358	---MC-	200	added ('OK')	text/xml	date:Fri,%2003%20Mar%202023%2008:12:22%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Faugust-sack-attack-scrimmage%2F&format=xml	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embed9326	(from https://aura.org.nz/august-sack-attack-scrimmage/)
21:12:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:23%20GMT	https://wp.me/pbLPmZ-j9	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/wp.me/pbLPmZ-j9.146.delayed	(from https://aura.org.nz/aura-quiz-night-fundraiser/)
21:12:25	909/909	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2008:12:23%20GMT	https://aura.org.nz/aura-quiz-night-fundraiser/feed/	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/aura-quiz-night-fundraiser/feed/index.html	(from https://aura.org.nz/aura-quiz-night-fundraiser/)
21:12:25	2251/2251	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2008:12:23%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Faura-quiz-night-fundraiser%2F	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embed4a3f.json	(from https://aura.org.nz/aura-quiz-night-fundraiser/)
21:12:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:23%20GMT	https://aura.org.nz/?p=1187	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/index9aa6.html	(from https://aura.org.nz/aura-quiz-night-fundraiser/)
21:12:26	2348/2348	---MC-	200	added ('OK')	text/xml	date:Fri,%2003%20Mar%202023%2008:12:24%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Faura-quiz-night-fundraiser%2F&format=xml	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embedcecf	(from https://aura.org.nz/aura-quiz-night-fundraiser/)
21:12:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:25%20GMT	https://wp.me/pbLPmZ-j1	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/wp.me/pbLPmZ-j1	(from https://aura.org.nz/july-sack-attack-scrimmage/)
21:12:26	909/909	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2008:12:25%20GMT	https://aura.org.nz/july-sack-attack-scrimmage/feed/	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/july-sack-attack-scrimmage/feed/index.html	(from https://aura.org.nz/july-sack-attack-scrimmage/)
21:12:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:25%20GMT	https://aura.org.nz/?p=1179	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/index1b15.html	(from https://aura.org.nz/july-sack-attack-scrimmage/)
21:12:27	2251/2251	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2008:12:25%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Fjuly-sack-attack-scrimmage%2F	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embedaa6e.json	(from https://aura.org.nz/july-sack-attack-scrimmage/)
21:12:27	2348/2348	---MC-	200	added ('OK')	text/xml	date:Fri,%2003%20Mar%202023%2008:12:25%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Fjuly-sack-attack-scrimmage%2F&format=xml	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embede14f	(from https://aura.org.nz/july-sack-attack-scrimmage/)
21:12:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:26%20GMT	https://wp.me/pbLPmZ-iY	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/wp.me/pbLPmZ-iY.14c.delayed	(from https://aura.org.nz/rookie-workshops/)
